company,min_dis
WGC,2340.181371194226
QCOM,708.746352255584
ABT,838.7987552120703
AVGO,10668.841714794278
LMAHD,84220.96004816711
AMGN,5615.509774486272
IOEU4,26384.8120031447
BRK,5976.7937710733495
GE,2935.6966069138643
DIS,2560.2705978341314
jpm us equity,2100.3323746248516
WMT,2155.4232540105513
NFLX,13128.929460516802
JNJ,3115.830536893095
MA,7767.5793656709775
CRM,4012.6484368796278
V,3879.7522698549283
PFE,2289.6680573677913
VZ,1879.8785479804226
UNH,8856.081612054215
cvx,2554.7009368934378
TSLA,2684.764567442372
PEP,2544.173003281946
LLY,2649.4758632507633
WTI,3491.0704565618053
INTU,9538.049579109602
ORCL,1449.3403111314462
GOOGL,704.4011490704947
AMZN,1387.55348144512
NVDA,1416.2728958219968
MSFT,3758.597787983613
BAC,2458.1686513639333
LMCAD,294919.5770339655
AMD,1315.9685116138648
HD,6539.976455677255
ACN,5441.520456146785
USDCNY,3380.814482081929
XOM,2266.076116355535
CSCO,2022.4566692347175
DOLLAR,1996.6664870551638
MCD,5002.896914791997
CAT,3307.712844762147
APPL,0
KO,1943.226201211899
PG,1792.8023755066429
ADBE,11840.034865450201
GOLD,61497.660460770676
COST,9040.996774644946
TXN,2216.232127128293
