company,min_dis
WGC,256716.83339630422
QCOM,256661.66922712314
ABT,256808.3672698898
AVGO,256281.41016976716
LMAHD,250080.57445593382
AMGN,257011.58079993902
IOEU4,256906.74544124532
BRK,256606.55049081732
GE,256580.4651987152
DIS,256864.72818405123
jpm us equity,256744.08933628877
WMT,256826.32278695478
NFLX,256319.08519648915
JNJ,256752.86392551637
MA,257299.30614453266
CRM,256640.29397021662
V,257030.56470015194
PFE,256742.71519532698
VZ,256877.5258164645
UNH,256345.07094481905
cvx,256705.10256453563
TSLA,256035.90502709328
PEP,256838.1737998831
LLY,256691.76485585177
WTI,256798.30252128807
INTU,256117.57097270663
ORCL,256681.94025399303
GOOGL,256593.8214146519
AMZN,256662.71557381685
NVDA,256014.9871846288
MSFT,256632.79026780388
BAC,256771.0527348501
LMCAD,245042.90449097176
AMD,256673.8152954947
HD,256438.0771106424
ACN,256410.6547359415
USDCNY,256815.29451564458
XOM,256667.3752088159
CSCO,256806.5866263644
DOLLAR,256857.41717812
MCD,256757.33337670515
CAT,256505.82792779617
APPL,256621.88182325326
KO,256834.73031608536
PG,256929.81615779272
ADBE,256354.76148017438
GOLD,258129.6991377722
COST,256641.32828068692
TXN,256666.9803676693
