company,min_dis
WGC,845.1841760233258
QCOM,2506.835201200977
ABT,2095.7877433792933
AVGO,12593.38048053553
LMAHD,85931.38965762922
AMGN,7182.466805398867
IOEU4,28009.402869722755
BRK,7624.439680937312
GE,4966.084010831881
DIS,4077.4320310912517
jpm us equity,3467.8785926785804
WMT,0
NFLX,15069.928321529593
JNJ,4502.147874219511
MA,9629.52303001288
CRM,5904.676180606689
V,5620.138707429406
PFE,309.426065257811
VZ,797.3929626313538
UNH,10723.96258885105
cvx,3187.769731181641
TSLA,4446.210965596111
PEP,3907.3275283590215
LLY,4571.2004573982085
WTI,1449.7963923918398
INTU,11557.600367103547
ORCL,950.4895585869637
GOOGL,1795.4052763364884
AMZN,3269.832738939274
NVDA,3309.864862514722
MSFT,5807.649741550403
BAC,405.1182446401792
LMCAD,296728.49917952344
AMD,1293.3171031860952
HD,8406.099104420431
ACN,7356.875059450409
USDCNY,1329.6650980641625
XOM,1628.707959317012
CSCO,457.02232195418634
DOLLAR,2529.785860226081
MCD,6628.544357666567
CAT,4952.952061745935
APPL,2155.4232540105513
KO,572.2237544888228
PG,3198.542393637032
ADBE,13874.75267102957
GOLD,63285.45893762461
COST,10975.2215476155
TXN,3959.0842172605553
