timestamp,company,price
2020-12-14,CORN,395.5
2020-12-15,CORN,395.75
2020-12-16,CORN,397.25
2020-12-17,CORN,398.0
2020-12-18,CORN,398.5
2020-12-19,CORN,398.5
2020-12-20,CORN,398.5
2020-12-21,CORN,398.5
2020-12-22,CORN,397.25
2020-12-23,CORN,399.0
2020-12-24,CORN,401.0
2020-12-25,CORN,401.1875
2020-12-26,CORN,401.375
2020-12-27,CORN,401.5625
2020-12-28,CORN,401.75
2020-12-29,CORN,402.0
2020-12-30,CORN,405.75
2020-12-31,CORN,406.25
2021-01-01,CORN,406.0625
2021-01-02,CORN,405.875
2021-01-03,CORN,405.6875
2021-01-04,CORN,405.5
2021-01-05,CORN,408.5
2021-01-06,CORN,411.5
2021-01-07,CORN,411.5
2021-01-08,CORN,410.5
2021-01-09,CORN,410.4166666666667
2021-01-10,CORN,410.3333333333333
2021-01-11,CORN,410.25
2021-01-12,CORN,411.75
2021-01-13,CORN,407.5
2021-01-14,CORN,408.75
2021-01-15,CORN,410.0
2021-01-16,CORN,411.0
2021-01-17,CORN,412.0
2021-01-18,CORN,413.0
2021-01-19,CORN,414.0
2021-01-20,CORN,414.5
2021-01-21,CORN,415.0
2021-01-22,CORN,409.0
2021-01-23,CORN,409.6666666666667
2021-01-24,CORN,410.3333333333333
2021-01-25,CORN,411.0
2021-01-26,CORN,413.5
2021-01-27,CORN,411.0
2021-01-28,CORN,410.75
2021-01-29,CORN,414.25
2021-01-30,CORN,414.75
2021-01-31,CORN,415.25
2021-02-01,CORN,415.75
2021-02-02,CORN,416.5
2021-02-03,CORN,416.5
2021-02-04,CORN,417.25
2021-02-05,CORN,421.0
2021-02-06,CORN,421.0833333333333
2021-02-07,CORN,421.1666666666667
2021-02-08,CORN,421.25
2021-02-09,CORN,419.0
2021-02-10,CORN,419.5
2021-02-11,CORN,421.5
2021-02-12,CORN,420.5
2021-02-13,CORN,421.25
2021-02-14,CORN,422.0
2021-02-15,CORN,422.75
2021-02-16,CORN,423.5
2021-02-17,CORN,423.5
2021-02-18,CORN,422.75
2021-02-19,CORN,419.75
2021-02-20,CORN,420.5
2021-02-21,CORN,421.25
2021-02-22,CORN,422.0
2021-02-23,CORN,422.5
2021-02-24,CORN,422.75
2021-02-25,CORN,422.75
2021-02-26,CORN,429.25
2021-02-27,CORN,429.5833333333333
2021-02-28,CORN,429.9166666666667
2021-03-01,CORN,430.25
2021-03-02,CORN,433.0
2021-03-03,CORN,432.75
2021-03-04,CORN,433.5
2021-03-05,CORN,435.0
2021-03-06,CORN,434.0833333333333
2021-03-07,CORN,433.1666666666667
2021-03-08,CORN,432.25
2021-03-09,CORN,434.75
