timestamp,company,price
2001-07-18,GE,9.4473
2001-07-19,GE,9.585
2001-07-20,GE,9.5498
2001-07-21,GE,9.470866666666666
2001-07-22,GE,9.391933333333334
2001-07-23,GE,9.313
2001-07-24,GE,9.2777
2001-07-25,GE,9.3348
2001-07-26,GE,9.4053
2001-07-27,GE,9.4473
2001-07-28,GE,9.4417
2001-07-29,GE,9.4361
2001-07-30,GE,9.4305
2001-07-31,GE,9.5044
2001-08-01,GE,9.4557
2001-08-02,GE,9.622
2001-08-03,GE,9.6992
2001-08-04,GE,9.691366666666667
2001-08-05,GE,9.683533333333333
2001-08-06,GE,9.6757
2001-08-07,GE,9.8336
2001-08-08,GE,9.6992
2001-08-09,GE,9.5867
2001-08-10,GE,9.6707
2001-08-11,GE,9.666233333333333
2001-08-12,GE,9.661766666666667
2001-08-13,GE,9.6573
2001-08-14,GE,9.6992
2001-08-15,GE,9.6875
2001-08-16,GE,9.7076
2001-08-17,GE,9.6724
2001-08-18,GE,9.666233333333333
2001-08-19,GE,9.660066666666667
2001-08-20,GE,9.6539
2001-08-21,GE,9.6573
2001-08-22,GE,9.669
2001-08-23,GE,9.7127
2001-08-24,GE,9.7396
2001-08-25,GE,9.774866666666666
2001-08-26,GE,9.810133333333333
2001-08-27,GE,9.8454
2001-08-28,GE,9.7412
2001-08-29,GE,9.5766
2001-08-30,GE,9.402
2001-08-31,GE,9.3331
2001-09-01,GE,9.351575
2001-09-02,GE,9.370049999999999
2001-09-03,GE,9.388525
2001-09-04,GE,9.407
2001-09-05,GE,9.4137
2001-09-06,GE,9.2055
2001-09-07,GE,9.0274
2001-09-08,GE,9.0151
2001-09-09,GE,9.0028
2001-09-10,GE,8.9905
2001-09-11,GE,8.88637142857143
2001-09-12,GE,8.782242857142858
2001-09-13,GE,8.678114285714287
2001-09-14,GE,8.573985714285714
2001-09-15,GE,8.469857142857142
2001-09-16,GE,8.365728571428571
2001-09-17,GE,8.2616
2001-09-18,GE,8.1574
2001-09-19,GE,8.0533
2001-09-20,GE,7.6469
2001-09-21,GE,7.7006
2001-09-22,GE,7.846166666666666
2001-09-23,GE,7.991733333333333
2001-09-24,GE,8.1373
2001-09-25,GE,8.1658
2001-09-26,GE,7.6838
2001-09-27,GE,7.6838
2001-09-28,GE,7.924
2001-09-29,GE,7.885933333333334
2001-09-30,GE,7.8478666666666665
2001-10-01,GE,7.8098
2001-10-02,GE,8.0029
2001-10-03,GE,8.1423
2001-10-04,GE,8.2246
2001-10-05,GE,8.1742
2001-10-06,GE,8.172533333333334
2001-10-07,GE,8.170866666666667
2001-10-08,GE,8.1692
2001-10-09,GE,8.2061
2001-10-10,GE,8.3892
2001-10-11,GE,8.8561
2001-10-12,GE,8.8712
2001-10-13,GE,8.9451
2001-10-14,GE,9.019
2001-10-15,GE,9.0929
2001-10-16,GE,9.1366
2001-10-17,GE,9.3163
2001-10-18,GE,9.4423
2001-10-19,GE,9.5716
2001-10-20,GE,9.553133333333333
2001-10-21,GE,9.534666666666666
2001-10-22,GE,9.5162
2001-10-23,GE,9.7849
2001-10-24,GE,9.664
