timestamp,company,price
2013-10-18,IOEU4,949.0
2013-10-19,IOEU4,946.6666666666666
2013-10-20,IOEU4,944.3333333333334
2013-10-21,IOEU4,942.0
2013-10-22,IOEU4,927.0
2013-10-23,IOEU4,921.0
2013-10-24,IOEU4,912.0
2013-10-25,IOEU4,911.0
2013-10-26,IOEU4,908.3333333333334
2013-10-27,IOEU4,905.6666666666666
2013-10-28,IOEU4,903.0
2013-10-29,IOEU4,900.0
2013-10-30,IOEU4,904.0
2013-10-31,IOEU4,902.0
2013-11-01,IOEU4,921.0
2013-11-02,IOEU4,923.3333333333334
2013-11-03,IOEU4,925.6666666666666
2013-11-04,IOEU4,928.0
2013-11-05,IOEU4,927.0
2013-11-06,IOEU4,927.0
2013-11-07,IOEU4,926.0
2013-11-08,IOEU4,925.0
2013-11-09,IOEU4,924.0
2013-11-10,IOEU4,923.0
2013-11-11,IOEU4,922.0
2013-11-12,IOEU4,925.0
2013-11-13,IOEU4,928.0
2013-11-14,IOEU4,922.0
2013-11-15,IOEU4,917.0
2013-11-16,IOEU4,916.6666666666666
2013-11-17,IOEU4,916.3333333333334
2013-11-18,IOEU4,916.0
2013-11-19,IOEU4,918.0
2013-11-20,IOEU4,925.0
2013-11-21,IOEU4,919.0
2013-11-22,IOEU4,917.0
2013-11-23,IOEU4,916.6666666666666
2013-11-24,IOEU4,916.3333333333334
2013-11-25,IOEU4,916.0
2013-11-26,IOEU4,924.0
2013-11-27,IOEU4,921.0
2013-11-28,IOEU4,922.0
2013-11-29,IOEU4,924.0
2013-11-30,IOEU4,923.6666666666666
2013-12-01,IOEU4,923.3333333333334
2013-12-02,IOEU4,923.0
2013-12-03,IOEU4,924.0
2013-12-04,IOEU4,932.0
2013-12-05,IOEU4,932.0
2013-12-06,IOEU4,924.0
2013-12-07,IOEU4,924.3333333333334
2013-12-08,IOEU4,924.6666666666666
2013-12-09,IOEU4,925.0
2013-12-10,IOEU4,926.0
2013-12-11,IOEU4,921.0
2013-12-12,IOEU4,920.0
2013-12-13,IOEU4,900.0
2013-12-14,IOEU4,901.0
2013-12-15,IOEU4,902.0
2013-12-16,IOEU4,903.0
2013-12-17,IOEU4,901.0
2013-12-18,IOEU4,893.0
2013-12-19,IOEU4,892.0
2013-12-20,IOEU4,892.0
2013-12-21,IOEU4,885.6666666666666
2013-12-22,IOEU4,879.3333333333334
2013-12-23,IOEU4,873.0
2013-12-24,IOEU4,880.0
2013-12-25,IOEU4,880.0
2013-12-26,IOEU4,875.0
2013-12-27,IOEU4,885.0
2013-12-28,IOEU4,888.3333333333334
2013-12-29,IOEU4,891.6666666666666
2013-12-30,IOEU4,895.0
2013-12-31,IOEU4,891.0
2014-01-01,IOEU4,889.0
2014-01-02,IOEU4,887.0
2014-01-03,IOEU4,879.0
2014-01-04,IOEU4,877.3333333333334
2014-01-05,IOEU4,875.6666666666666
2014-01-06,IOEU4,874.0
2014-01-07,IOEU4,876.0
2014-01-08,IOEU4,873.0
2014-01-09,IOEU4,871.0
2014-01-10,IOEU4,858.0
2014-01-11,IOEU4,856.6666666666666
2014-01-12,IOEU4,855.3333333333334
2014-01-13,IOEU4,854.0
2014-01-14,IOEU4,857.0
2014-01-15,IOEU4,861.0
2014-01-16,IOEU4,862.0
2014-01-17,IOEU4,856.0
2014-01-18,IOEU4,853.6666666666666
2014-01-19,IOEU4,851.3333333333334
2014-01-20,IOEU4,849.0
2014-01-21,IOEU4,832.0
2014-01-22,IOEU4,835.0
2014-01-23,IOEU4,854.0
2014-01-24,IOEU4,858.0
2014-01-25,IOEU4,855.3333333333334
2014-01-26,IOEU4,852.6666666666666
2014-01-27,IOEU4,850.0
2014-01-28,IOEU4,847.0
2014-01-29,IOEU4,849.0
2014-01-30,IOEU4,851.0
2014-01-31,IOEU4,850.125
2014-02-01,IOEU4,849.25
2014-02-02,IOEU4,848.375
2014-02-03,IOEU4,847.5
2014-02-04,IOEU4,846.625
2014-02-05,IOEU4,845.75
2014-02-06,IOEU4,844.875
2014-02-07,IOEU4,844.0
2014-02-08,IOEU4,842.0
2014-02-09,IOEU4,840.0
2014-02-10,IOEU4,838.0
2014-02-11,IOEU4,838.0
2014-02-12,IOEU4,836.0
2014-02-13,IOEU4,841.0
2014-02-14,IOEU4,847.0
2014-02-15,IOEU4,850.3333333333334
2014-02-16,IOEU4,853.6666666666666
2014-02-17,IOEU4,857.0
2014-02-18,IOEU4,860.0
2014-02-19,IOEU4,854.0
2014-02-20,IOEU4,849.0
2014-02-21,IOEU4,843.0
2014-02-22,IOEU4,837.0
2014-02-23,IOEU4,831.0
2014-02-24,IOEU4,825.0
2014-02-25,IOEU4,816.0
2014-02-26,IOEU4,813.0
2014-02-27,IOEU4,816.0
2014-02-28,IOEU4,812.0
2014-03-01,IOEU4,807.6666666666666
2014-03-02,IOEU4,803.3333333333334
2014-03-03,IOEU4,799.0
2014-03-04,IOEU4,796.0
2014-03-05,IOEU4,798.0
2014-03-06,IOEU4,795.0
2014-03-07,IOEU4,774.0
2014-03-08,IOEU4,760.6666666666666
2014-03-09,IOEU4,747.3333333333334
2014-03-10,IOEU4,734.0
2014-03-11,IOEU4,731.0
2014-03-12,IOEU4,726.0
2014-03-13,IOEU4,737.0
2014-03-14,IOEU4,735.0
2014-03-15,IOEU4,734.6666666666666
2014-03-16,IOEU4,734.3333333333334
2014-03-17,IOEU4,734.0
2014-03-18,IOEU4,730.0
2014-03-19,IOEU4,733.0
2014-03-20,IOEU4,744.0
2014-03-21,IOEU4,735.0
2014-03-22,IOEU4,733.3333333333334
2014-03-23,IOEU4,731.6666666666666
2014-03-24,IOEU4,730.0
2014-03-25,IOEU4,751.0
2014-03-26,IOEU4,755.0
2014-03-27,IOEU4,761.0
2014-03-28,IOEU4,769.0
2014-03-29,IOEU4,775.6666666666666
2014-03-30,IOEU4,782.3333333333334
2014-03-31,IOEU4,789.0
2014-04-01,IOEU4,794.0
2014-04-02,IOEU4,787.0
2014-04-03,IOEU4,790.0
2014-04-04,IOEU4,800.0
2014-04-05,IOEU4,805.25
2014-04-06,IOEU4,810.5
2014-04-07,IOEU4,815.75
2014-04-08,IOEU4,821.0
2014-04-09,IOEU4,824.0
2014-04-10,IOEU4,820.0
2014-04-11,IOEU4,812.0
2014-04-12,IOEU4,809.6666666666666
2014-04-13,IOEU4,807.3333333333334
2014-04-14,IOEU4,805.0
2014-04-15,IOEU4,803.0
2014-04-16,IOEU4,799.0
