timestamp,company,price
2006-05-24,MA,3.9
2006-05-25,MA,4.6
2006-05-26,MA,4.493
2006-05-27,MA,4.46975
2006-05-28,MA,4.4465
2006-05-29,MA,4.42325
2006-05-30,MA,4.4
2006-05-31,MA,4.494
2006-06-01,MA,4.751
2006-06-02,MA,4.699
2006-06-03,MA,4.771
2006-06-04,MA,4.843
2006-06-05,MA,4.915
2006-06-06,MA,4.83
2006-06-07,MA,4.76
2006-06-08,MA,4.772
2006-06-09,MA,4.778
2006-06-10,MA,4.750333333333333
2006-06-11,MA,4.722666666666667
2006-06-12,MA,4.695
2006-06-13,MA,4.55
2006-06-14,MA,4.512
2006-06-15,MA,4.595
2006-06-16,MA,4.502
2006-06-17,MA,4.479333333333333
2006-06-18,MA,4.456666666666667
2006-06-19,MA,4.434
2006-06-20,MA,4.402
2006-06-21,MA,4.53
2006-06-22,MA,4.66
2006-06-23,MA,4.695
2006-06-24,MA,4.713333333333334
2006-06-25,MA,4.7316666666666665
2006-06-26,MA,4.75
2006-06-27,MA,4.731
2006-06-28,MA,4.696
2006-06-29,MA,4.8
2006-06-30,MA,4.8
2006-07-01,MA,4.776666666666666
2006-07-02,MA,4.753333333333334
2006-07-03,MA,4.73
2006-07-04,MA,4.745
2006-07-05,MA,4.76
2006-07-06,MA,4.68
2006-07-07,MA,4.612
2006-07-08,MA,4.624333333333333
2006-07-09,MA,4.636666666666667
2006-07-10,MA,4.649
2006-07-11,MA,4.635
2006-07-12,MA,4.555
2006-07-13,MA,4.472
2006-07-14,MA,4.395
2006-07-15,MA,4.396333333333333
2006-07-16,MA,4.397666666666667
2006-07-17,MA,4.399
2006-07-18,MA,4.39
2006-07-19,MA,4.528
2006-07-20,MA,4.555
2006-07-21,MA,4.528
2006-07-22,MA,4.518666666666666
2006-07-23,MA,4.509333333333333
2006-07-24,MA,4.5
2006-07-25,MA,4.608
2006-07-26,MA,4.668
2006-07-27,MA,4.652
2006-07-28,MA,4.63
2006-07-29,MA,4.615666666666667
2006-07-30,MA,4.601333333333333
2006-07-31,MA,4.587
2006-08-01,MA,4.5
2006-08-02,MA,5.002
2006-08-03,MA,4.999
2006-08-04,MA,5.005
2006-08-05,MA,5.04
2006-08-06,MA,5.075
2006-08-07,MA,5.11
2006-08-08,MA,5.257
2006-08-09,MA,5.285
2006-08-10,MA,5.356
2006-08-11,MA,5.368
2006-08-12,MA,5.386333333333334
2006-08-13,MA,5.4046666666666665
2006-08-14,MA,5.423
2006-08-15,MA,5.449
2006-08-16,MA,5.427
2006-08-17,MA,5.346
2006-08-18,MA,5.345
2006-08-19,MA,5.372
2006-08-20,MA,5.399
2006-08-21,MA,5.426
2006-08-22,MA,5.523
2006-08-23,MA,5.46
2006-08-24,MA,5.565
2006-08-25,MA,5.5
2006-08-26,MA,5.500666666666667
2006-08-27,MA,5.501333333333333
2006-08-28,MA,5.502
2006-08-29,MA,5.535
2006-08-30,MA,5.525
2006-08-31,MA,5.59
2006-09-01,MA,5.655
2006-09-02,MA,5.6625
2006-09-03,MA,5.67
2006-09-04,MA,5.6775
2006-09-05,MA,5.685
2006-09-06,MA,5.888
2006-09-07,MA,6.012
2006-09-08,MA,5.975
2006-09-09,MA,6.0456666666666665
2006-09-10,MA,6.116333333333333
2006-09-11,MA,6.187
2006-09-12,MA,6.21
2006-09-13,MA,6.135
2006-09-14,MA,6.279
2006-09-15,MA,6.497
2006-09-16,MA,6.502
2006-09-17,MA,6.507
2006-09-18,MA,6.512
2006-09-19,MA,6.484
2006-09-20,MA,6.655
2006-09-21,MA,6.905
2006-09-22,MA,6.593
2006-09-23,MA,6.542
2006-09-24,MA,6.4910000000000005
2006-09-25,MA,6.44
2006-09-26,MA,6.6
2006-09-27,MA,6.784
2006-09-28,MA,6.865
2006-09-29,MA,7.035
2006-09-30,MA,7.022
2006-10-01,MA,7.009
2006-10-02,MA,6.996
2006-10-03,MA,6.968
2006-10-04,MA,6.962
2006-10-05,MA,7.259
2006-10-06,MA,7.515
2006-10-07,MA,7.4366666666666665
2006-10-08,MA,7.358333333333333
2006-10-09,MA,7.28
2006-10-10,MA,7.191
2006-10-11,MA,6.95
2006-10-12,MA,7.041
2006-10-13,MA,7.009
2006-10-14,MA,7.049333333333333
2006-10-15,MA,7.089666666666667
2006-10-16,MA,7.13
2006-10-17,MA,6.95
2006-10-18,MA,7.045
2006-10-19,MA,7.233
2006-10-20,MA,7.122
2006-10-21,MA,7.089666666666667
2006-10-22,MA,7.057333333333333
2006-10-23,MA,7.025
2006-10-24,MA,7.12
2006-10-25,MA,7.075
2006-10-26,MA,7.22
2006-10-27,MA,7.264
2006-10-28,MA,7.260666666666666
2006-10-29,MA,7.257333333333333
2006-10-30,MA,7.254
2006-10-31,MA,7.41
2006-11-01,MA,8.507
2006-11-02,MA,8.76
2006-11-03,MA,8.951
2006-11-04,MA,9.177333333333333
2006-11-05,MA,9.403666666666668
2006-11-06,MA,9.63
2006-11-07,MA,9.25
2006-11-08,MA,8.844
2006-11-09,MA,8.82
2006-11-10,MA,8.92
2006-11-11,MA,9.165
2006-11-12,MA,9.41
2006-11-13,MA,9.655
2006-11-14,MA,9.52
