timestamp,company,price
2010-06-28,TSLA,1.1333
2010-06-29,TSLA,1.5927
2010-06-30,TSLA,1.5887
2010-07-01,TSLA,1.464
2010-07-02,TSLA,1.28
2010-07-03,TSLA,1.2285
2010-07-04,TSLA,1.177
2010-07-05,TSLA,1.1255000000000002
2010-07-06,TSLA,1.074
2010-07-07,TSLA,1.0533
2010-07-08,TSLA,1.164
2010-07-09,TSLA,1.16
2010-07-10,TSLA,1.1522333333333332
2010-07-11,TSLA,1.1444666666666667
2010-07-12,TSLA,1.1367
2010-07-13,TSLA,1.2093
2010-07-14,TSLA,1.3227
2010-07-15,TSLA,1.326
2010-07-16,TSLA,1.376
2010-07-17,TSLA,1.4042333333333332
2010-07-18,TSLA,1.4324666666666668
2010-07-19,TSLA,1.4607
2010-07-20,TSLA,1.3533
2010-07-21,TSLA,1.348
2010-07-22,TSLA,1.4
2010-07-23,TSLA,1.4193
2010-07-24,TSLA,1.4117666666666666
2010-07-25,TSLA,1.4042333333333334
2010-07-26,TSLA,1.3967
2010-07-27,TSLA,1.37
2010-07-28,TSLA,1.3813
2010-07-29,TSLA,1.3567
2010-07-30,TSLA,1.3293
2010-07-31,TSLA,1.3511
2010-08-01,TSLA,1.3729
2010-08-02,TSLA,1.3947
2010-08-03,TSLA,1.4633
2010-08-04,TSLA,1.4173
2010-08-05,TSLA,1.3633
2010-08-06,TSLA,1.306
2010-08-07,TSLA,1.3062333333333334
2010-08-08,TSLA,1.3064666666666667
2010-08-09,TSLA,1.3067
2010-08-10,TSLA,1.2687
2010-08-11,TSLA,1.1933
2010-08-12,TSLA,1.1733
2010-08-13,TSLA,1.2213
2010-08-14,TSLA,1.2315333333333334
2010-08-15,TSLA,1.2417666666666667
2010-08-16,TSLA,1.252
2010-08-17,TSLA,1.2767
2010-08-18,TSLA,1.2513
2010-08-19,TSLA,1.2527
2010-08-20,TSLA,1.2733
2010-08-21,TSLA,1.2962
2010-08-22,TSLA,1.3191000000000002
2010-08-23,TSLA,1.342
2010-08-24,TSLA,1.28
2010-08-25,TSLA,1.3267
2010-08-26,TSLA,1.3167
2010-08-27,TSLA,1.3133
2010-08-28,TSLA,1.3171
2010-08-29,TSLA,1.3209
2010-08-30,TSLA,1.3247
2010-08-31,TSLA,1.2987
2010-09-01,TSLA,1.3633
2010-09-02,TSLA,1.404
2010-09-03,TSLA,1.4033
2010-09-04,TSLA,1.3948
2010-09-05,TSLA,1.3862999999999999
2010-09-06,TSLA,1.3778
2010-09-07,TSLA,1.3693
2010-09-08,TSLA,1.3933
2010-09-09,TSLA,1.3807
2010-09-10,TSLA,1.3447
2010-09-11,TSLA,1.3569
2010-09-12,TSLA,1.3691
2010-09-13,TSLA,1.3813
2010-09-14,TSLA,1.408
2010-09-15,TSLA,1.4653
2010-09-16,TSLA,1.396
2010-09-17,TSLA,1.3487
2010-09-18,TSLA,1.3670333333333333
2010-09-19,TSLA,1.3853666666666666
2010-09-20,TSLA,1.4037
2010-09-21,TSLA,1.3847
2010-09-22,TSLA,1.3247
2010-09-23,TSLA,1.304
2010-09-24,TSLA,1.34
2010-09-25,TSLA,1.3495666666666668
2010-09-26,TSLA,1.3591333333333333
2010-09-27,TSLA,1.3687
2010-09-28,TSLA,1.4267
2010-09-29,TSLA,1.4653
2010-09-30,TSLA,1.3603
2010-10-01,TSLA,1.3733
2010-10-02,TSLA,1.3819666666666666
2010-10-03,TSLA,1.3906333333333334
2010-10-04,TSLA,1.3993
2010-10-05,TSLA,1.408
2010-10-06,TSLA,1.364
2010-10-07,TSLA,1.362
2010-10-08,TSLA,1.362
2010-10-09,TSLA,1.3577666666666668
