timestamp,company,price
2007-08-21,USDCNY,7.5965
2007-08-22,USDCNY,7.5965
2007-08-23,USDCNY,7.5862
2007-08-24,USDCNY,7.5655
2007-08-25,USDCNY,7.5655
2007-08-26,USDCNY,7.5655
2007-08-27,USDCNY,7.5655
2007-08-28,USDCNY,7.558
2007-08-29,USDCNY,7.55
2007-08-30,USDCNY,7.5445
2007-08-31,USDCNY,7.5465
2007-09-01,USDCNY,7.5474
2007-09-02,USDCNY,7.5483
2007-09-03,USDCNY,7.5492
2007-09-04,USDCNY,7.5535
2007-09-05,USDCNY,7.5565
2007-09-06,USDCNY,7.5355
2007-09-07,USDCNY,7.5395
2007-09-08,USDCNY,7.534666666666667
2007-09-09,USDCNY,7.529833333333333
2007-09-10,USDCNY,7.525
2007-09-11,USDCNY,7.5245
2007-09-12,USDCNY,7.5205
2007-09-13,USDCNY,7.5144
2007-09-14,USDCNY,7.5195
2007-09-15,USDCNY,7.520166666666666
2007-09-16,USDCNY,7.520833333333333
2007-09-17,USDCNY,7.5215
2007-09-18,USDCNY,7.5165
2007-09-19,USDCNY,7.5125
2007-09-20,USDCNY,7.5125
2007-09-21,USDCNY,7.5025
2007-09-22,USDCNY,7.505
2007-09-23,USDCNY,7.5075
2007-09-24,USDCNY,7.51
2007-09-25,USDCNY,7.5145
2007-09-26,USDCNY,7.5195
2007-09-27,USDCNY,7.516
2007-09-28,USDCNY,7.4953
2007-09-29,USDCNY,7.4997
2007-09-30,USDCNY,7.5041
2007-10-01,USDCNY,7.5085
2007-10-02,USDCNY,7.5118
2007-10-03,USDCNY,7.5025
2007-10-04,USDCNY,7.5123
2007-10-05,USDCNY,7.5123
2007-10-06,USDCNY,7.510366666666666
2007-10-07,USDCNY,7.5084333333333335
2007-10-08,USDCNY,7.5065
2007-10-09,USDCNY,7.512
2007-10-10,USDCNY,7.514
2007-10-11,USDCNY,7.5085
2007-10-12,USDCNY,7.5095
2007-10-13,USDCNY,7.511666666666667
2007-10-14,USDCNY,7.513833333333333
2007-10-15,USDCNY,7.516
2007-10-16,USDCNY,7.5136
2007-10-17,USDCNY,7.5201
2007-10-18,USDCNY,7.5188
2007-10-19,USDCNY,7.5099
2007-10-20,USDCNY,7.5096
2007-10-21,USDCNY,7.5093000000000005
2007-10-22,USDCNY,7.509
2007-10-23,USDCNY,7.5035
2007-10-24,USDCNY,7.495
2007-10-25,USDCNY,7.4835
2007-10-26,USDCNY,7.4805
2007-10-27,USDCNY,7.478766666666667
2007-10-28,USDCNY,7.477033333333333
2007-10-29,USDCNY,7.4753
2007-10-30,USDCNY,7.4715
2007-10-31,USDCNY,7.465
2007-11-01,USDCNY,7.4597
2007-11-02,USDCNY,7.4605
2007-11-03,USDCNY,7.458666666666667
2007-11-04,USDCNY,7.456833333333333
2007-11-05,USDCNY,7.455
2007-11-06,USDCNY,7.454
2007-11-07,USDCNY,7.4535
2007-11-08,USDCNY,7.4206
2007-11-09,USDCNY,7.4215
2007-11-10,USDCNY,7.419833333333333
2007-11-11,USDCNY,7.418166666666667
2007-11-12,USDCNY,7.4165
2007-11-13,USDCNY,7.4284
2007-11-14,USDCNY,7.4265
2007-11-15,USDCNY,7.4275
2007-11-16,USDCNY,7.4293
2007-11-17,USDCNY,7.430466666666667
2007-11-18,USDCNY,7.431633333333333
2007-11-19,USDCNY,7.4328
2007-11-20,USDCNY,7.425
2007-11-21,USDCNY,7.4185
2007-11-22,USDCNY,7.4162
2007-11-23,USDCNY,7.3992
2007-11-24,USDCNY,7.3975333333333335
2007-11-25,USDCNY,7.395866666666667
2007-11-26,USDCNY,7.3942
2007-11-27,USDCNY,7.3865
2007-11-28,USDCNY,7.391
2007-11-29,USDCNY,7.3915
2007-11-30,USDCNY,7.4025
2007-12-01,USDCNY,7.402833333333334
2007-12-02,USDCNY,7.4031666666666665
2007-12-03,USDCNY,7.4035
2007-12-04,USDCNY,7.4065
2007-12-05,USDCNY,7.4025
2007-12-06,USDCNY,7.4085
2007-12-07,USDCNY,7.4095
2007-12-08,USDCNY,7.403666666666667
2007-12-09,USDCNY,7.397833333333334
2007-12-10,USDCNY,7.392
2007-12-11,USDCNY,7.3885
2007-12-12,USDCNY,7.3765
2007-12-13,USDCNY,7.3725
2007-12-14,USDCNY,7.3785
2007-12-15,USDCNY,7.379666666666666
2007-12-16,USDCNY,7.380833333333333
2007-12-17,USDCNY,7.382
2007-12-18,USDCNY,7.3776
2007-12-19,USDCNY,7.3743
2007-12-20,USDCNY,7.3671
2007-12-21,USDCNY,7.3607
2007-12-22,USDCNY,7.3518
2007-12-23,USDCNY,7.342899999999999
