timestamp,company,price
2005-01-27,WTI,19.0
2005-01-28,WTI,18.5
2005-01-29,WTI,18.4
2005-01-30,WTI,18.3
2005-01-31,WTI,18.2
2005-02-01,WTI,18.21
2005-02-02,WTI,18.21
2005-02-03,WTI,18.25
2005-02-04,WTI,18.2
2005-02-05,WTI,18.21333333333333
2005-02-06,WTI,18.226666666666667
2005-02-07,WTI,18.24
2005-02-08,WTI,18.19
2005-02-09,WTI,18.4
2005-02-10,WTI,18.95
2005-02-11,WTI,19.1
2005-02-12,WTI,19.05
2005-02-13,WTI,19.0
2005-02-14,WTI,18.95
2005-02-15,WTI,18.72
2005-02-16,WTI,18.71
2005-02-17,WTI,19.02
2005-02-18,WTI,19.4
2005-02-19,WTI,19.3675
2005-02-20,WTI,19.335
2005-02-21,WTI,19.3025
2005-02-22,WTI,19.27
2005-02-23,WTI,19.25
2005-02-24,WTI,19.32
2005-02-25,WTI,20.0
2005-02-26,WTI,19.966666666666665
2005-02-27,WTI,19.933333333333334
2005-02-28,WTI,19.9
2005-03-01,WTI,19.65
2005-03-02,WTI,19.87
2005-03-03,WTI,19.88
2005-03-04,WTI,20.0
2005-03-05,WTI,19.966666666666665
2005-03-06,WTI,19.933333333333334
2005-03-07,WTI,19.9
2005-03-08,WTI,20.0
2005-03-09,WTI,20.53
2005-03-10,WTI,20.29
2005-03-11,WTI,20.3
2005-03-12,WTI,20.43
2005-03-13,WTI,20.560000000000002
2005-03-14,WTI,20.69
2005-03-15,WTI,20.85
2005-03-16,WTI,21.14
2005-03-17,WTI,21.5
2005-03-18,WTI,22.05
2005-03-19,WTI,21.933333333333334
2005-03-20,WTI,21.816666666666666
2005-03-21,WTI,21.7
2005-03-22,WTI,22.03
2005-03-23,WTI,21.1
2005-03-24,WTI,21.36
2005-03-25,WTI,21.307499999999997
2005-03-26,WTI,21.255
2005-03-27,WTI,21.2025
2005-03-28,WTI,21.15
2005-03-29,WTI,20.42
2005-03-30,WTI,20.55
2005-03-31,WTI,20.76
2005-04-01,WTI,20.78
2005-04-02,WTI,21.053333333333335
2005-04-03,WTI,21.326666666666668
2005-04-04,WTI,21.6
2005-04-05,WTI,21.42
2005-04-06,WTI,21.26
2005-04-07,WTI,21.3
2005-04-08,WTI,21.29
2005-04-09,WTI,21.346666666666668
2005-04-10,WTI,21.403333333333332
2005-04-11,WTI,21.46
2005-04-12,WTI,21.32
2005-04-13,WTI,20.7
2005-04-14,WTI,20.74
2005-04-15,WTI,20.12
2005-04-16,WTI,20.113333333333333
2005-04-17,WTI,20.10666666666667
