timestamp,company,price
2000-05-24,jpm us equity,47.75
2000-05-25,jpm us equity,46.8333
2000-05-26,jpm us equity,47.0
2000-05-27,jpm us equity,47.5
2000-05-28,jpm us equity,48.0
2000-05-29,jpm us equity,48.5
2000-05-30,jpm us equity,49.0
2000-05-31,jpm us equity,49.7917
2000-06-01,jpm us equity,51.4167
2000-06-02,jpm us equity,53.7917
2000-06-03,jpm us equity,53.500033333333334
2000-06-04,jpm us equity,53.20836666666666
2000-06-05,jpm us equity,52.9167
2000-06-06,jpm us equity,51.3333
2000-06-07,jpm us equity,51.25
2000-06-08,jpm us equity,51.0
2000-06-09,jpm us equity,48.875
2000-06-10,jpm us equity,48.77863333333333
2000-06-11,jpm us equity,48.68226666666667
2000-06-12,jpm us equity,48.5859
2000-06-13,jpm us equity,48.1875
2000-06-14,jpm us equity,50.0625
2000-06-15,jpm us equity,48.8125
2000-06-16,jpm us equity,45.4375
2000-06-17,jpm us equity,45.916666666666664
2000-06-18,jpm us equity,46.395833333333336
2000-06-19,jpm us equity,46.875
2000-06-20,jpm us equity,47.9375
2000-06-21,jpm us equity,47.0
2000-06-22,jpm us equity,46.375
2000-06-23,jpm us equity,46.875
2000-06-24,jpm us equity,47.104166666666664
2000-06-25,jpm us equity,47.333333333333336
2000-06-26,jpm us equity,47.5625
2000-06-27,jpm us equity,47.9375
2000-06-28,jpm us equity,47.0391
2000-06-29,jpm us equity,47.625
2000-06-30,jpm us equity,46.0625
2000-07-01,jpm us equity,46.5625
2000-07-02,jpm us equity,47.0625
2000-07-03,jpm us equity,47.5625
2000-07-04,jpm us equity,47.65625
2000-07-05,jpm us equity,47.75
2000-07-06,jpm us equity,48.0
2000-07-07,jpm us equity,50.0625
2000-07-08,jpm us equity,49.958333333333336
2000-07-09,jpm us equity,49.854166666666664
2000-07-10,jpm us equity,49.75
2000-07-11,jpm us equity,50.6875
2000-07-12,jpm us equity,50.5625
2000-07-13,jpm us equity,50.75
2000-07-14,jpm us equity,52.5
2000-07-15,jpm us equity,52.34376666666667
2000-07-16,jpm us equity,52.187533333333334
2000-07-17,jpm us equity,52.0313
2000-07-18,jpm us equity,50.9375
2000-07-19,jpm us equity,50.6875
2000-07-20,jpm us equity,53.1875
2000-07-21,jpm us equity,52.7305
2000-07-22,jpm us equity,52.341166666666666
2000-07-23,jpm us equity,51.95183333333333
2000-07-24,jpm us equity,51.5625
2000-07-25,jpm us equity,51.25
2000-07-26,jpm us equity,49.375
2000-07-27,jpm us equity,49.875
2000-07-28,jpm us equity,48.375
2000-07-29,jpm us equity,48.854166666666664
2000-07-30,jpm us equity,49.333333333333336
2000-07-31,jpm us equity,49.8125
2000-08-01,jpm us equity,51.625
2000-08-02,jpm us equity,51.4375
2000-08-03,jpm us equity,50.25
2000-08-04,jpm us equity,52.4375
2000-08-05,jpm us equity,52.8125
2000-08-06,jpm us equity,53.1875
2000-08-07,jpm us equity,53.5625
2000-08-08,jpm us equity,53.5
2000-08-09,jpm us equity,52.3125
2000-08-10,jpm us equity,51.875
2000-08-11,jpm us equity,52.0
2000-08-12,jpm us equity,52.25
2000-08-13,jpm us equity,52.5
2000-08-14,jpm us equity,52.75
2000-08-15,jpm us equity,51.8125
2000-08-16,jpm us equity,50.375
2000-08-17,jpm us equity,50.6875
2000-08-18,jpm us equity,50.75
2000-08-19,jpm us equity,50.8125
2000-08-20,jpm us equity,50.875
2000-08-21,jpm us equity,50.9375
2000-08-22,jpm us equity,52.75
2000-08-23,jpm us equity,54.3125
2000-08-24,jpm us equity,53.25
2000-08-25,jpm us equity,52.0625
2000-08-26,jpm us equity,52.270833333333336
2000-08-27,jpm us equity,52.479166666666664
2000-08-28,jpm us equity,52.6875
2000-08-29,jpm us equity,51.875
2000-08-30,jpm us equity,53.25
2000-08-31,jpm us equity,55.875
2000-09-01,jpm us equity,56.3125
2000-09-02,jpm us equity,56.515625
2000-09-03,jpm us equity,56.71875
2000-09-04,jpm us equity,56.921875
