timestamp,company,price
2000-01-01,CPI,169.3
2000-02-01,CPI,170.0
2000-03-01,CPI,171.0
2000-04-01,CPI,170.9
2000-05-01,CPI,171.2
2000-06-01,CPI,172.2
2000-07-01,CPI,172.7
2000-08-01,CPI,172.7
2000-09-01,CPI,173.6
2000-10-01,CPI,173.9
2000-11-01,CPI,174.2
2000-12-01,CPI,174.6
2001-01-01,CPI,175.6
2001-02-01,CPI,176.0
2001-03-01,CPI,176.1
2001-04-01,CPI,176.4
2001-05-01,CPI,177.3
2001-06-01,CPI,177.7
2001-07-01,CPI,177.4
2001-08-01,CPI,177.4
2001-09-01,CPI,178.1
2001-10-01,CPI,177.6
2001-11-01,CPI,177.5
2001-12-01,CPI,177.4
2002-01-01,CPI,177.7
2002-02-01,CPI,178.0
2002-03-01,CPI,178.5
2002-04-01,CPI,179.3
2002-05-01,CPI,179.5
2002-06-01,CPI,179.6
2002-07-01,CPI,180.0
2002-08-01,CPI,180.5
2002-09-01,CPI,180.8
2002-10-01,CPI,181.2
2002-11-01,CPI,181.5
2002-12-01,CPI,181.8
2003-01-01,CPI,182.6
2003-02-01,CPI,183.6
2003-03-01,CPI,183.9
2003-04-01,CPI,183.2
2003-05-01,CPI,182.9
2003-06-01,CPI,183.1
2003-07-01,CPI,183.7
2003-08-01,CPI,184.5
2003-09-01,CPI,185.1
2003-10-01,CPI,184.9
2003-11-01,CPI,185.0
2003-12-01,CPI,185.5
2004-01-01,CPI,186.3
2004-02-01,CPI,186.7
2004-03-01,CPI,187.1
2004-04-01,CPI,187.4
2004-05-01,CPI,188.2
2004-06-01,CPI,188.9
2004-07-01,CPI,189.1
2004-08-01,CPI,189.2
2004-09-01,CPI,189.8
2004-10-01,CPI,190.8
2004-11-01,CPI,191.7
2004-12-01,CPI,191.7
2005-01-01,CPI,191.6
2005-02-01,CPI,192.4
2005-03-01,CPI,193.1
2005-04-01,CPI,193.7
2005-05-01,CPI,193.6
2005-06-01,CPI,193.7
2005-07-01,CPI,194.9
2005-08-01,CPI,196.1
2005-09-01,CPI,198.8
2005-10-01,CPI,199.1
2005-11-01,CPI,198.1
2005-12-01,CPI,198.1
2006-01-01,CPI,199.3
2006-02-01,CPI,199.4
2006-03-01,CPI,199.7
2006-04-01,CPI,200.7
2006-05-01,CPI,201.3
2006-06-01,CPI,201.8
2006-07-01,CPI,202.9
2006-08-01,CPI,203.8
2006-09-01,CPI,202.8
2006-10-01,CPI,201.9
2006-11-01,CPI,202.0
2006-12-01,CPI,203.1
2007-01-01,CPI,203.437
2007-02-01,CPI,204.226
2007-03-01,CPI,205.288
2007-04-01,CPI,205.904
2007-05-01,CPI,206.755
2007-06-01,CPI,207.234
2007-07-01,CPI,207.603
2007-08-01,CPI,207.667
2007-09-01,CPI,208.547
2007-10-01,CPI,209.19
2007-11-01,CPI,210.834
2007-12-01,CPI,211.445
2008-01-01,CPI,212.174
2008-02-01,CPI,212.687
2008-03-01,CPI,213.448
2008-04-01,CPI,213.942
2008-05-01,CPI,215.208
2008-06-01,CPI,217.463
2008-07-01,CPI,219.016
2008-08-01,CPI,218.69
2008-09-01,CPI,218.877
2008-10-01,CPI,216.995
2008-11-01,CPI,213.153
2008-12-01,CPI,211.398
2009-01-01,CPI,211.933
2009-02-01,CPI,212.705
2009-03-01,CPI,212.495
2009-04-01,CPI,212.709
2009-05-01,CPI,213.022
2009-06-01,CPI,214.79
2009-07-01,CPI,214.726
2009-08-01,CPI,215.445
2009-09-01,CPI,215.861
2009-10-01,CPI,216.509
2009-11-01,CPI,217.234
2009-12-01,CPI,217.347
2010-01-01,CPI,217.488
2010-02-01,CPI,217.281
2010-03-01,CPI,217.353
2010-04-01,CPI,217.403
2010-05-01,CPI,217.29
2010-06-01,CPI,217.199
2010-07-01,CPI,217.605
2010-08-01,CPI,217.923
2010-09-01,CPI,218.275
2010-10-01,CPI,219.035
2010-11-01,CPI,219.59
2010-12-01,CPI,220.472
2011-01-01,CPI,221.187
2011-02-01,CPI,221.898
2011-03-01,CPI,223.046
2011-04-01,CPI,224.093
2011-05-01,CPI,224.806
2011-06-01,CPI,224.806
2011-07-01,CPI,225.395
2011-08-01,CPI,226.106
2011-09-01,CPI,226.597
2011-10-01,CPI,226.75
2011-11-01,CPI,227.169
2011-12-01,CPI,227.223
2012-01-01,CPI,227.842
2012-02-01,CPI,228.329
2012-03-01,CPI,228.807
2012-04-01,CPI,229.187
2012-05-01,CPI,228.713
2012-06-01,CPI,228.524
2012-07-01,CPI,228.59
2012-08-01,CPI,229.918
2012-09-01,CPI,231.015
2012-10-01,CPI,231.638
2012-11-01,CPI,231.249
2012-12-01,CPI,231.221
2013-01-01,CPI,231.679
2013-02-01,CPI,232.937
2013-03-01,CPI,232.282
2013-04-01,CPI,231.797
2013-05-01,CPI,231.893
2013-06-01,CPI,232.445
2013-07-01,CPI,232.9
2013-08-01,CPI,233.456
2013-09-01,CPI,233.544
2013-10-01,CPI,233.669
2013-11-01,CPI,234.1
2013-12-01,CPI,234.719
2014-01-01,CPI,235.288
2014-02-01,CPI,235.547
2014-03-01,CPI,236.028
2014-04-01,CPI,236.468
2014-05-01,CPI,236.918
2014-06-01,CPI,237.231
2014-07-01,CPI,237.498
2014-08-01,CPI,237.46
2014-09-01,CPI,237.477
2014-10-01,CPI,237.43
2014-11-01,CPI,236.983
2014-12-01,CPI,236.252
2015-01-01,CPI,234.747
2015-02-01,CPI,235.342
2015-03-01,CPI,235.976
2015-04-01,CPI,236.222
2015-05-01,CPI,237.001
2015-06-01,CPI,237.657
2015-07-01,CPI,238.034
2015-08-01,CPI,238.033
2015-09-01,CPI,237.498
2015-10-01,CPI,237.733
2015-11-01,CPI,238.017
2015-12-01,CPI,237.761
2016-01-01,CPI,237.652
2016-02-01,CPI,237.336
2016-03-01,CPI,238.08
2016-04-01,CPI,238.992
2016-05-01,CPI,239.557
2016-06-01,CPI,240.222
2016-07-01,CPI,240.101
2016-08-01,CPI,240.545
2016-09-01,CPI,241.176
2016-10-01,CPI,241.741
2016-11-01,CPI,242.026
2016-12-01,CPI,242.637
2017-01-01,CPI,243.618
2017-02-01,CPI,244.006
2017-03-01,CPI,243.892
2017-04-01,CPI,244.193
2017-05-01,CPI,244.004
2017-06-01,CPI,244.163
2017-07-01,CPI,244.243
2017-08-01,CPI,245.183
2017-09-01,CPI,246.435
2017-10-01,CPI,246.626
2017-11-01,CPI,247.284
2017-12-01,CPI,247.805
2018-01-01,CPI,248.859
2018-02-01,CPI,249.529
2018-03-01,CPI,249.577
2018-04-01,CPI,250.227
2018-05-01,CPI,250.792
2018-06-01,CPI,251.018
2018-07-01,CPI,251.214
2018-08-01,CPI,251.663
2018-09-01,CPI,252.182
2018-10-01,CPI,252.772
2018-11-01,CPI,252.594
2018-12-01,CPI,252.767
2019-01-01,CPI,252.561
2019-02-01,CPI,253.319
2019-03-01,CPI,254.277
2019-04-01,CPI,255.233
2019-05-01,CPI,255.296
2019-06-01,CPI,255.213
2019-07-01,CPI,255.802
2019-08-01,CPI,256.036
2019-09-01,CPI,256.43
2019-10-01,CPI,257.155
2019-11-01,CPI,257.879
2019-12-01,CPI,258.63
2020-01-01,CPI,258.906
2020-02-01,CPI,259.246
2020-03-01,CPI,258.15
2020-04-01,CPI,256.126
2020-05-01,CPI,255.848
2020-06-01,CPI,257.004
2020-07-01,CPI,258.408
2020-08-01,CPI,259.366
2020-09-01,CPI,259.951
2020-10-01,CPI,260.249
2020-11-01,CPI,260.895
2020-12-01,CPI,262.005
2021-01-01,CPI,262.518
2021-02-01,CPI,263.583
2021-03-01,CPI,264.91
2021-04-01,CPI,266.752
2021-05-01,CPI,268.452
2021-06-01,CPI,270.664
2021-07-01,CPI,271.994
2021-08-01,CPI,272.789
2021-09-01,CPI,273.887
2021-10-01,CPI,276.434
2021-11-01,CPI,278.799
2021-12-01,CPI,280.808
2022-01-01,CPI,282.39
2022-02-01,CPI,284.535
2022-03-01,CPI,287.553
2022-04-01,CPI,288.764
2022-05-01,CPI,291.359
2022-06-01,CPI,294.996
2022-07-01,CPI,294.977
2022-08-01,CPI,295.209
2022-09-01,CPI,296.341
2022-10-01,CPI,297.863
2022-11-01,CPI,298.648
2022-12-01,CPI,298.812
2023-01-01,CPI,300.356
2023-02-01,CPI,301.509
2023-03-01,CPI,301.744
2023-04-01,CPI,303.032
2023-05-01,CPI,303.365
2023-06-01,CPI,304.003
2023-07-01,CPI,304.628
2023-08-01,CPI,306.187
2023-09-01,CPI,307.288
2023-10-01,CPI,307.531
2023-11-01,CPI,308.024
2023-12-01,CPI,308.742
2024-01-01,CPI,309.685
2024-02-01,CPI,311.054
2024-03-01,CPI,312.23
2024-04-01,CPI,313.207
