timestamp,company,price
2023-10-31,FED RATE,5.33
2023-09-30,FED RATE,5.33
2023-08-31,FED RATE,5.33
2023-07-31,FED RATE,5.12
2023-06-30,FED RATE,5.08
2023-05-31,FED RATE,5.06
2023-04-30,FED RATE,4.83
2023-03-31,FED RATE,4.65
2023-02-28,FED RATE,4.57
2023-01-31,FED RATE,4.33
2022-12-31,FED RATE,4.1
2022-11-30,FED RATE,3.78
2022-10-31,FED RATE,3.08
2022-09-30,FED RATE,2.56
2022-08-31,FED RATE,2.33
2022-07-31,FED RATE,1.68
2022-06-30,FED RATE,1.21
2022-05-31,FED RATE,0.77
2022-04-30,FED RATE,0.33
2022-03-31,FED RATE,0.2
2022-02-28,FED RATE,0.08
2022-01-31,FED RATE,0.08
2021-12-31,FED RATE,0.08
2021-11-30,FED RATE,0.08
2021-10-31,FED RATE,0.08
2021-09-30,FED RATE,0.08
2021-08-31,FED RATE,0.09
2021-07-31,FED RATE,0.1
2021-06-30,FED RATE,0.08
2021-05-31,FED RATE,0.06
2021-04-30,FED RATE,0.07
2021-03-31,FED RATE,0.07
2021-02-28,FED RATE,0.08
2021-01-31,FED RATE,0.09
2020-12-31,FED RATE,0.09
2020-11-30,FED RATE,0.09
2020-10-31,FED RATE,0.09
2020-09-30,FED RATE,0.09
2020-08-31,FED RATE,0.1
2020-07-31,FED RATE,0.09
2020-06-30,FED RATE,0.08
2020-05-31,FED RATE,0.05
2020-04-30,FED RATE,0.05
2020-03-31,FED RATE,0.65
2020-02-29,FED RATE,1.58
2020-01-31,FED RATE,1.55
2019-12-31,FED RATE,1.55
2019-11-30,FED RATE,1.55
2019-10-31,FED RATE,1.83
2019-09-30,FED RATE,2.04
2019-08-31,FED RATE,2.13
2019-07-31,FED RATE,2.4
2019-06-30,FED RATE,2.38
2019-05-31,FED RATE,2.39
2019-04-30,FED RATE,2.42
2019-03-31,FED RATE,2.41
2019-02-28,FED RATE,2.4
2019-01-31,FED RATE,2.4
2018-12-31,FED RATE,2.27
2018-11-30,FED RATE,2.2
2018-10-31,FED RATE,2.19
2018-09-30,FED RATE,1.95
2018-08-31,FED RATE,1.91
2018-07-31,FED RATE,1.91
2018-06-30,FED RATE,1.82
2018-05-31,FED RATE,1.7
2018-04-30,FED RATE,1.69
2018-03-31,FED RATE,1.51
2018-02-28,FED RATE,1.42
2018-01-31,FED RATE,1.41
2017-12-31,FED RATE,1.3
2017-11-30,FED RATE,1.16
2017-10-31,FED RATE,1.15
2017-09-30,FED RATE,1.15
2017-08-31,FED RATE,1.16
2017-07-31,FED RATE,1.15
2017-06-30,FED RATE,1.04
2017-05-31,FED RATE,0.91
2017-04-30,FED RATE,0.9
2017-03-31,FED RATE,0.79
2017-02-28,FED RATE,0.66
2017-01-31,FED RATE,0.65
2016-12-31,FED RATE,0.54
2016-11-30,FED RATE,0.41
2016-10-31,FED RATE,0.4
2016-09-30,FED RATE,0.4
2016-08-31,FED RATE,0.4
2016-07-31,FED RATE,0.39
2016-06-30,FED RATE,0.38
2016-05-31,FED RATE,0.37
2016-04-30,FED RATE,0.37
2016-03-31,FED RATE,0.36
2016-02-29,FED RATE,0.38
2016-01-31,FED RATE,0.34
2015-12-31,FED RATE,0.24
2015-11-30,FED RATE,0.12
2015-10-31,FED RATE,0.12
2015-09-30,FED RATE,0.14
2015-08-31,FED RATE,0.14
2015-07-31,FED RATE,0.13
2015-06-30,FED RATE,0.13
2015-05-31,FED RATE,0.12
2015-04-30,FED RATE,0.12
2015-03-31,FED RATE,0.11
2015-02-28,FED RATE,0.11
2015-01-31,FED RATE,0.11
