timestamp,company,price
2023-10-31,US PPI,254.807
2023-09-30,US PPI,259.117
2023-08-31,US PPI,256.685
2023-07-31,US PPI,252.321
2023-06-30,US PPI,251.568
2023-05-31,US PPI,251.022
2023-04-30,US PPI,254.047
2023-03-31,US PPI,253.428
2023-02-28,US PPI,255.766
2023-01-31,US PPI,257.461
2022-12-31,US PPI,254.314
2022-11-30,US PPI,257.123
2022-10-31,US PPI,255.871
2022-09-30,US PPI,253.366
2022-08-31,US PPI,251.757
2022-07-31,US PPI,254.604
2022-06-30,US PPI,259.168
2022-05-31,US PPI,252.729
2022-04-30,US PPI,247.72
2022-03-31,US PPI,245.889
2022-02-28,US PPI,240.765
2022-01-31,US PPI,236.31
2021-12-31,US PPI,233.693
2021-11-30,US PPI,232.564
2021-10-31,US PPI,230.201
2021-09-30,US PPI,227.162
2021-08-31,US PPI,223.404
2021-07-31,US PPI,221.224
2021-06-30,US PPI,219.7
2021-05-31,US PPI,216.8
2021-04-30,US PPI,214.7
2021-03-31,US PPI,213.6
2021-02-28,US PPI,211.4
2021-01-31,US PPI,208.9
2020-12-31,US PPI,206.8
2020-11-30,US PPI,204.6
2020-10-31,US PPI,204.2
2020-09-30,US PPI,203.1
2020-08-31,US PPI,202.3
2020-07-31,US PPI,202.0
2020-06-30,US PPI,200.9
2020-05-31,US PPI,200.2
2020-04-30,US PPI,196.1
2020-03-31,US PPI,201.9
2020-02-29,US PPI,206.2
2020-01-31,US PPI,208.0
2019-12-31,US PPI,208.5
2019-11-30,US PPI,207.3
2019-10-31,US PPI,206.7
2019-09-30,US PPI,205.4
2019-08-31,US PPI,205.4
2019-07-31,US PPI,206.0
2019-06-30,US PPI,205.4
2019-05-31,US PPI,206.4
2019-04-30,US PPI,206.8
2019-03-31,US PPI,205.1
2019-02-28,US PPI,203.5
2019-01-31,US PPI,202.5
2018-12-31,US PPI,204.4
2018-11-30,US PPI,205.2
2018-10-31,US PPI,206.9
2018-09-30,US PPI,205.3
2018-08-31,US PPI,204.6
2018-07-31,US PPI,204.4
2018-06-30,US PPI,204.0
2018-05-31,US PPI,203.8
2018-04-30,US PPI,202.8
2018-03-31,US PPI,202.8
2018-02-28,US PPI,202.8
2018-01-31,US PPI,202.2
2017-12-31,US PPI,201.8
2017-11-30,US PPI,201.3
2017-10-31,US PPI,199.6
2017-09-30,US PPI,199.0
2017-08-31,US PPI,197.4
2017-07-31,US PPI,196.3
2017-06-30,US PPI,196.2
2017-05-31,US PPI,196.1
2017-04-30,US PPI,198.1
2017-03-31,US PPI,197.1
2017-02-28,US PPI,197.2
2017-01-31,US PPI,196.6
2016-12-31,US PPI,195.0
2016-11-30,US PPI,193.3
2016-10-31,US PPI,193.7
2016-09-30,US PPI,192.6
2016-08-31,US PPI,191.8
2016-07-31,US PPI,192.4
2016-06-30,US PPI,192.4
2016-05-31,US PPI,191.1
2016-04-30,US PPI,190.4
2016-03-31,US PPI,189.8
2016-02-29,US PPI,189.4
2016-01-31,US PPI,190.8
2015-12-31,US PPI,191.3
2015-11-30,US PPI,192.6
2015-10-31,US PPI,192.4
2015-09-30,US PPI,192.9
2015-08-31,US PPI,195.3
2015-07-31,US PPI,196.0
2015-06-30,US PPI,196.2
2015-05-31,US PPI,195.1
2015-04-30,US PPI,192.9
2015-03-31,US PPI,194.2
2015-02-28,US PPI,193.5
2015-01-31,US PPI,193.3
2014-12-31,US PPI,196.8
2014-11-30,US PPI,199.5
2014-10-31,US PPI,200.2
2014-09-30,US PPI,200.8
2014-08-31,US PPI,201.4
2014-07-31,US PPI,201.5
2014-06-30,US PPI,201.5
2014-05-31,US PPI,201.0
2014-04-30,US PPI,201.7
2014-03-31,US PPI,200.8
2014-02-28,US PPI,200.2
2014-01-31,US PPI,199.8
2013-12-31,US PPI,198.3
2013-11-30,US PPI,197.5
2013-10-31,US PPI,196.9
2013-09-30,US PPI,196.5
2013-08-31,US PPI,197.0
2013-07-31,US PPI,196.0
2013-06-30,US PPI,196.2
2013-05-31,US PPI,196.1
2013-04-30,US PPI,195.3
2013-03-31,US PPI,196.5
2013-02-28,US PPI,197.6
2013-01-31,US PPI,196.4
2012-12-31,US PPI,195.3
2012-11-30,US PPI,195.7
2012-10-31,US PPI,196.7
2012-09-30,US PPI,196.5
2012-08-31,US PPI,194.7
2012-07-31,US PPI,192.4
2012-06-30,US PPI,192.1
2012-05-31,US PPI,192.9
2012-04-30,US PPI,194.0
2012-03-31,US PPI,194.1
2012-02-29,US PPI,193.9
2012-01-31,US PPI,193.4
2011-12-31,US PPI,192.7
2011-11-30,US PPI,192.9
2011-10-31,US PPI,192.4
2011-09-30,US PPI,192.8
2011-08-31,US PPI,191.1
2011-07-31,US PPI,191.6
2011-06-30,US PPI,190.8
2011-05-31,US PPI,191.5
2011-04-30,US PPI,190.5
2011-03-31,US PPI,188.8
2011-02-28,US PPI,187.4
2011-01-31,US PPI,185.4
2010-12-31,US PPI,184.0
2010-11-30,US PPI,182.4
2010-10-31,US PPI,181.6
2010-09-30,US PPI,180.1
2010-08-31,US PPI,179.5
2010-07-31,US PPI,178.5
2010-06-30,US PPI,178.3
2010-05-31,US PPI,178.9
2010-04-30,US PPI,178.9
2010-03-31,US PPI,178.9
2010-02-28,US PPI,177.7
2010-01-31,US PPI,178.9
2009-12-31,US PPI,177.1
2009-11-30,US PPI,176.6
2009-10-31,US PPI,174.3
2009-09-30,US PPI,173.5
2009-08-31,US PPI,173.9
2009-07-31,US PPI,171.5
2009-06-30,US PPI,173.5
2009-05-31,US PPI,170.3
2009-04-30,US PPI,170.0
2009-03-31,US PPI,169.1
2009-02-28,US PPI,170.6
2009-01-31,US PPI,170.8
2008-12-31,US PPI,169.7
2008-11-30,US PPI,172.9
2008-10-31,US PPI,178.3
2008-09-30,US PPI,182.7
2008-08-31,US PPI,182.0
2008-07-31,US PPI,183.4
2008-06-30,US PPI,181.2
2008-05-31,US PPI,178.4
2008-04-30,US PPI,175.9
2008-03-31,US PPI,175.4
2008-02-29,US PPI,173.9
2008-01-31,US PPI,173.3
2007-12-31,US PPI,171.7
2007-11-30,US PPI,172.4
2007-10-31,US PPI,169.3
2007-09-30,US PPI,167.6
2007-08-31,US PPI,166.0
2007-07-31,US PPI,167.2
2007-06-30,US PPI,166.1
2007-05-31,US PPI,166.0
2007-04-30,US PPI,165.3
2007-03-31,US PPI,164.1
2007-02-28,US PPI,162.7
2007-01-31,US PPI,160.9
2006-12-31,US PPI,161.1
2006-11-30,US PPI,160.0
2006-10-31,US PPI,158.7
2006-09-30,US PPI,160.2
2006-08-31,US PPI,162.1
2006-07-31,US PPI,161.0
