timestamp,company,price
2000-01-01,IMPORTCN,6902.1
2000-02-01,IMPORTCN,6584.4
2000-03-01,IMPORTCN,6424.1
2000-04-01,IMPORTCN,7070.5
2000-05-01,IMPORTCN,7850.2
2000-06-01,IMPORTCN,8541.7
2000-07-01,IMPORTCN,9246.4
2000-08-01,IMPORTCN,10054.0
2000-09-01,IMPORTCN,10061.7
2000-10-01,IMPORTCN,10611.6
2000-11-01,IMPORTCN,9066.8
2000-12-01,IMPORTCN,7604.7
2001-01-01,IMPORTCN,8427.5
2001-02-01,IMPORTCN,6375.6
2001-03-01,IMPORTCN,7590.2
2001-04-01,IMPORTCN,7686.8
2001-05-01,IMPORTCN,7757.9
2001-06-01,IMPORTCN,8398.2
2001-07-01,IMPORTCN,8975.3
2001-08-01,IMPORTCN,10042.9
2001-09-01,IMPORTCN,9927.8
2001-10-01,IMPORTCN,10808.3
2001-11-01,IMPORTCN,8878.8
2001-12-01,IMPORTCN,7409.1
2002-01-01,IMPORTCN,8415.4
2002-02-01,IMPORTCN,8020.8
2002-03-01,IMPORTCN,7259.0
2002-04-01,IMPORTCN,9097.6
2002-05-01,IMPORTCN,9846.9
2002-06-01,IMPORTCN,10727.2
2002-07-01,IMPORTCN,11213.2
2002-08-01,IMPORTCN,12671.4
2002-09-01,IMPORTCN,12291.5
2002-10-01,IMPORTCN,11455.0
2002-11-01,IMPORTCN,12569.6
2002-12-01,IMPORTCN,11625.0
2003-01-01,IMPORTCN,11403.5
2003-02-01,IMPORTCN,9629.63
2003-03-01,IMPORTCN,10110.04
2003-04-01,IMPORTCN,11521.85
2003-05-01,IMPORTCN,11884.7
2003-06-01,IMPORTCN,12127.3
2003-07-01,IMPORTCN,13438.64
2003-08-01,IMPORTCN,13764.87
2003-09-01,IMPORTCN,14747.53
2003-10-01,IMPORTCN,16458.32
2003-11-01,IMPORTCN,14156.95
2003-12-01,IMPORTCN,13192.78
2004-01-01,IMPORTCN,14089.02
2004-02-01,IMPORTCN,11267.15
2004-03-01,IMPORTCN,13800.12
2004-04-01,IMPORTCN,14744.78
2004-05-01,IMPORTCN,15067.11
2004-06-01,IMPORTCN,16887.76
2004-07-01,IMPORTCN,17562.1
2004-08-01,IMPORTCN,18067.87
2004-09-01,IMPORTCN,18386.95
2004-10-01,IMPORTCN,19718.16
2004-11-01,IMPORTCN,19678.99
2004-12-01,IMPORTCN,17412.03
2005-01-01,IMPORTCN,17885.84
2005-02-01,IMPORTCN,16937.59
2005-03-01,IMPORTCN,16184.94
2005-04-01,IMPORTCN,18148.46
2005-05-01,IMPORTCN,19053.19
2005-06-01,IMPORTCN,20976.7
2005-07-01,IMPORTCN,21272.67
2005-08-01,IMPORTCN,22421.29
2005-09-01,IMPORTCN,23294.48
2005-10-01,IMPORTCN,24382.85
2005-11-01,IMPORTCN,22426.13
2005-12-01,IMPORTCN,20485.95
2006-01-01,IMPORTCN,21382.51
2006-02-01,IMPORTCN,17905.35
2006-03-01,IMPORTCN,20531.26
2006-04-01,IMPORTCN,21459.07
2006-05-01,IMPORTCN,22317.64
2006-06-01,IMPORTCN,23989.7
2006-07-01,IMPORTCN,24632.01
2006-08-01,IMPORTCN,26713.34
2006-09-01,IMPORTCN,27570.62
2006-10-01,IMPORTCN,29388.6
2006-11-01,IMPORTCN,27775.08
2006-12-01,IMPORTCN,24109.19
2007-01-01,IMPORTCN,25640.56
2007-02-01,IMPORTCN,23038.88
2007-03-01,IMPORTCN,22723.04
2007-04-01,IMPORTCN,24241.52
2007-05-01,IMPORTCN,25290.57
2007-06-01,IMPORTCN,27070.96
2007-07-01,IMPORTCN,28601.17
2007-08-01,IMPORTCN,28424.5
2007-09-01,IMPORTCN,29418.96
2007-10-01,IMPORTCN,31555.41
2007-11-01,IMPORTCN,29780.72
2007-12-01,IMPORTCN,25656.56
2008-01-01,IMPORTCN,26193.03
2008-02-01,IMPORTCN,24095.89
2008-03-01,IMPORTCN,22440.24
2008-04-01,IMPORTCN,25951.67
2008-05-01,IMPORTCN,27634.53
2008-06-01,IMPORTCN,27930.64
2008-07-01,IMPORTCN,31247.27
2008-08-01,IMPORTCN,31823.7
2008-09-01,IMPORTCN,33078.73
2008-10-01,IMPORTCN,34032.39
